['Build.VERSION_CODES.R', 3, 'Dar9586-NClientV2', '2.0.0']
['Build.VERSION_CODES.ICE_CREAM_SANDWICH_MR1', 3, 'daneren2005-Subsonic', '1.0.0']
['Build.VERSION_CODES.HONEYCOMB_MR2', 3, 'citiususc-calendula', '1.0.0']
['13', 3, 'bailuk-AAT', '2.0.0']
['FocAndroid.SAF_MIN_SDK', 3, 'bailuk-AAT', '2.0.0']
['Build.VERSION_CODES.LOLLIPOP_MR1', 3, 'AnySoftKeyboard-AnySoftKeyboard', '1.0.0']
['7', 3, 'AnySoftKeyboard-AnySoftKeyboard', '1.0.0']
['28', 3, 'ankidroid-Anki_Android', '1.0.0']
['android.os.Build.VERSION_CODES.JELLY_BEAN_MR2', 2, 'wiglenet-wigle_wifi_wardriving', '1.0.0']
['15', 2, 'forrestguice-SuntimesCalendars', '1.0.0']
['Build.VERSION_CODES.Q', 1, 'OxfordHCC-tracker_control_android', '1.0.0']
['Build.VERSION_CODES.CUPCAKE', 1, 'owncloud-android', '1.0.0']
['29', 1, 'MuntashirAkon-AppManager', '2.0.0']
['22', 1, 'MuntashirAkon-AppManager', '2.0.0']
['VERSION_CODES.ICE_CREAM_SANDWICH', 1, 'mtotschnig-MyExpenses', '2.0.0']
['VERSION_CODES.GINGERBREAD', 1, 'ccrama-Slide', '1.0.0']
['Build.VERSION_CODES.JELLY_BEAN_MR2', 1, '39aldo39-spaRSS_DecSync', '1.0.0']
