['AndroidXMenuRes', 44, 'AdrienPoupa-VinylMusicPlayer', '2.0.0']
['AndroidXDimenRes', 27, 'BiglySoftware-BiglyBT_Android', '2.0.0']
['AndroidXArrayRes', 21, 'beemdevelopment-Aegis', '1.0.0']
['AndroidXStringDef', 18, 'AdrienPoupa-VinylMusicPlayer', '2.0.0']
['AndroidXStyleableRes', 12, 'lexica-lexica', '2.0.0']
['AndroidXBoolRes', 6, 'snikket_im-snikket_android', '1.0.0']
['AndroidXRawRes', 5, 'mozilla_mobile-focus_android', '1.0.0']
['AndroidXRequiresPermission', 5, 'fossasia-open_event_organizer_android', '1.0.0']
['AndroidXAnyRes', 5, 'BiglySoftware-BiglyBT_Android', '2.0.0']
['AndroidXXmlRes', 4, 'farmerbb-Taskbar', '2.0.0']
['AndroidXPluralsRes', 4, 'ankidroid-Anki_Android', '2.0.0']
['AndroidXDimension', 2, 'TeamNewPipe-NewPipe', '2.0.0']
['AndroidXIntegerRes', 2, 'snikket_im-snikket_android', '1.0.0']
['AndroidXFontRes', 2, 'Catrobat-Paintroid', '2.0.0']
['AndroidXAnimRes', 2, 'AsteroidOS-AsteroidOSSync', '1.0.0']
['AndroidXContentView', 1, 'Nonononoki-Hendroid', '2.0.0']
['AndroidXNavigationRes', 1, 'austinhuang0131-instagrabber', '2.0.0']
['AndroidXRequiresApi', 1, '92lleo-WhatsappWebToGo', '2.0.0']
['AndroidXNonNull', 36851, 'AdrienPoupa-VinylMusicPlayer', '2.0.0']
['AndroidXNullable', 13203, 'AdrienPoupa-VinylMusicPlayer', '2.0.0']
['AndroidXStringRes', 677, 'AdrienPoupa-VinylMusicPlayer', '2.0.0']
['AndroidXColorInt', 665, 'AdrienPoupa-VinylMusicPlayer', '2.0.0']
['AndroidXRequiresApi', 574, '92lleo-WhatsappWebToGo', '2.0.0']
['AndroidXVisibleForTesting', 542, 'AndreAle94-moneywallet', '2.0.0']
['AndroidXWorkerThread', 539, 'ankidroid-Anki_Android', '1.0.0']
['AndroidXMainThread', 385, 'andOTP-andOTP', '2.0.0']
['AndroidXDrawableRes', 377, 'AdrienPoupa-VinylMusicPlayer', '2.0.0']
['AndroidXAnyThread', 313, 'andOTP-andOTP', '2.0.0']
['AndroidXUiThread', 298, 'AndreAle94-moneywallet', '2.0.0']
['AndroidXIntDef', 174, 'ankidroid-Anki_Android', '1.0.0']
['AndroidXLayoutRes', 164, 'AdrienPoupa-VinylMusicPlayer', '2.0.0']
['AndroidXRestrictTo', 136, 'k9mail-k_9', '1.0.0']
['AndroidXCheckResult', 131, 'ankidroid-Anki_Android', '1.0.0']
['AndroidXIdRes', 121, 'AndreAle94-moneywallet', '2.0.0']
['AndroidXGuardedBy', 108, 'k9mail-k_9', '1.0.0']
['AndroidXCallSuper', 105, 'AndreAle94-moneywallet', '2.0.0']
['AndroidXStyleRes', 81, 'AdrienPoupa-VinylMusicPlayer', '2.0.0']
['AndroidXAttrRes', 79, 'AntennaPod-AntennaPod', '2.0.0']
['AndroidXColorRes', 78, 'AndreAle94-moneywallet', '2.0.0']
['AndroidXKeep', 76, 'BiglySoftware-BiglyBT_Android', '2.0.0']
['AndroidXPx', 72, 'lexica-lexica', '2.0.0']
['AndroidXIntRange', 59, 'AdrienPoupa-VinylMusicPlayer', '2.0.0']
['AndroidXFloatRange', 44, 'AdrienPoupa-VinylMusicPlayer', '2.0.0']
['AndroidXMenuRes', 44, 'AdrienPoupa-VinylMusicPlayer', '2.0.0']
['AndroidXDimenRes', 27, 'BiglySoftware-BiglyBT_Android', '2.0.0']
['AndroidXArrayRes', 21, 'beemdevelopment-Aegis', '1.0.0']
['AndroidXStringDef', 18, 'AdrienPoupa-VinylMusicPlayer', '2.0.0']
['AndroidXStyleableRes', 12, 'lexica-lexica', '2.0.0']
['AndroidXBoolRes', 6, 'snikket_im-snikket_android', '1.0.0']
['AndroidXRawRes', 5, 'mozilla_mobile-focus_android', '1.0.0']
['AndroidXRequiresPermission', 5, 'fossasia-open_event_organizer_android', '1.0.0']
['AndroidXAnyRes', 5, 'BiglySoftware-BiglyBT_Android', '2.0.0']
['AndroidXXmlRes', 4, 'farmerbb-Taskbar', '2.0.0']
['AndroidXPluralsRes', 4, 'ankidroid-Anki_Android', '2.0.0']
['AndroidXDimension', 2, 'TeamNewPipe-NewPipe', '2.0.0']
['AndroidXIntegerRes', 2, 'snikket_im-snikket_android', '1.0.0']
['AndroidXFontRes', 2, 'Catrobat-Paintroid', '2.0.0']
['AndroidXAnimRes', 2, 'AsteroidOS-AsteroidOSSync', '1.0.0']
['AndroidXContentView', 1, 'Nonononoki-Hendroid', '2.0.0']
['AndroidXNavigationRes', 1, 'austinhuang0131-instagrabber', '2.0.0']
['AndroidXRequiresApi', 1, '92lleo-WhatsappWebToGo', '2.0.0']
['AndroidXNonNull', 25912, 'AdrienPoupa-VinylMusicPlayer', '2.0.0']
['AndroidXNullable', 9146, 'AdrienPoupa-VinylMusicPlayer', '2.0.0']
['AndroidXStringRes', 500, 'AdrienPoupa-VinylMusicPlayer', '2.0.0']
['AndroidXRequiresApi', 455, '92lleo-WhatsappWebToGo', '2.0.0']
['AndroidXColorInt', 419, 'AdrienPoupa-VinylMusicPlayer', '2.0.0']
['AndroidXVisibleForTesting', 376, 'AndreAle94-moneywallet', '2.0.0']
['AndroidXWorkerThread', 373, 'ankidroid-Anki_Android', '2.0.0']
['AndroidXDrawableRes', 259, 'AdrienPoupa-VinylMusicPlayer', '2.0.0']
['AndroidXUiThread', 219, 'AndreAle94-moneywallet', '2.0.0']
['AndroidXAnyThread', 209, 'andOTP-andOTP', '2.0.0']
['AndroidXMainThread', 204, 'andOTP-andOTP', '2.0.0']
