program	version1	methods1	constraints1	version2	methods2	constraints2
lucene-core	2.3.0	3096	158	6.1.0	8954	1612
mail	1.4	1908	16	1.5.0-b01	2374	59
maven-artifact	2.0-alpha-3	214	1	3.3.9	331	6
maven-core	2.0-alpha-3	220	1	3.3.9	2748	54
maven-model	2.0-alpha-3	433	1	3.3.9	962	2
maven-plugin-annotations	3.0	6	0	3.4	6	0
maven-plugin-api	2.0-alpha-3	44	0	3.3.9	286	0
maven-project	2.0-alpha-3	218	0	3.0-alpha-2	721	10
mockito-all	1.8.0-rc2	2776	122	2.0.2-beta	3550	125
mockito-core	1.8.0-rc2	2957	125	2.0.99-beta	1779	10
mongo-java-driver	1.1	1038	38	3.3.0	7429	259
mysql-connector-java	5.1.21	5815	8	6.0.3	10516	243
netty	3.3.0.Final	3989	442	4.0.0.Alpha8	6047	633
objenesis	1.0	66	1	2.4	109	2
open-jdk	8	101301	4085	8	101301	0
org.apache.felix.scr.annotations	0.9.0	4	0	1.11.0	20	0
org.osgi.compendium	4.2.0	983	91	5.0.0	1154	77
org.osgi.core	1.4.0	421	45	6.0.0	698	55
persistence-api	1.0	93	0	1.0.2	96	0
plexus-container-default	1.0-alpha-10	898	12	1.7	1040	27
plexus-utils	1.0.4	849	71	3.0.24	1229	90
portlet-api	2.0	448	25	2.0	448	0
postgresql	9.1-901-1.jdbc4	2230	12	9.4.1209	2694	21
powermock-api-mockito	1.4.6	150	14	1.6.5	251	17
powermock-module-junit4	1.4.6	50	0	1.6.5	114	1
protobuf-java	2.0.1	1614	35	3.0.0	8736	389
reflections	0.9.5-RC2	276	3	0.9.10	451	49
resteasy-jaxrs	1.0.2.GA	1357	41	3.1.0.Beta1	2810	150
rxjava	1.0.0-rc.1	2215	50	1.1.8	3856	196
scala-compiler	2.11.0-M4	7	1	2.12.0-M5	7	1
scala-library	2.5.0-RC1	140	2	2.12.0-M5	788	0
scalatest_2.10	1.9	18	0	3.0.0	0	0
scalatest_2.11	2.1.3	0	0	3.0.0	0	0
selenium-java	2.0.0	680	14	3.0.0-beta2	1039	35
servlet-api	2.2	393	5	3.0-alpha-1	370	15
slf4j-api	1.1.0-beta0	103	3	1.7.21	439	22
slf4j-jdk14	1.0	145	3	1.7.21	51	0
